feedback_id,order_id,rating,feedback_category,feedback_text,feedback_date
1,102-2639436-9116057,3,Customer_Service,"Product is okay not great not terrible",2026-02-05
2,103-2017146-5967617,2,Packaging,"Customer service was not helpful",2026-04-02
3,106-4650522-1047346,1,Payment_Issue,"Worst experience will not order again",2026-05-14
4,108-1686051-4188399,1,Packaging,"Very late delivery extremely disappointed",2026-07-06
5,108-1981522-5667115,2,Packaging,"Late delivery missed the promised date",2026-08-27
6,108-6714661-2327340,5,Delivery_Speed,"Smooth payment and quick delivery",2026-06-30
7,120-4798087-1366319,4,Delivery_Speed,"Product is fine met my expectations",2026-05-12
8,122-2021726-5436461,4,Payment_Issue,"Nice product quality delivery was on time",2026-08-06
9,124-7383454-5191949,2,Packaging,"Product quality does not match the listing",2026-07-01
10,129-7012554-3182460,4,Payment_Issue,"Product is fine met my expectations",2026-08-09
11,131-2293333-6521761,2,Packaging,"Customer service was not helpful",2026-03-12
12,131-7535468-5745280,3,Delivery_Speed,"Average experience delivery took longer than promised",2026-01-02
13,132-6765926-1846495,5,Payment_Issue,"Outstanding service will order again",2026-04-14
14,133-4777275-9895697,3,Packaging,"Packaging was damaged but product was fine",2026-04-06
15,140-8696167-2257124,2,Delivery_Speed,"Payment issue caused delay in order",2026-06-01
16,145-6423398-8740737,4,Product_Quality,"Nice product quality delivery was on time",2026-08-30
17,151-5260743-2747516,2,Customer_Service,"Customer service was not helpful",2026-04-04
18,151-5430280-3609540,4,Delivery_Speed,"Nice product quality delivery was on time",2026-07-27
19,161-1627155-2280053,1,Packaging,"Worst experience will not order again",2026-06-04
20,161-1965465-3967625,5,Customer_Service,"Outstanding service will order again",2026-06-23
21,167-8102837-7492729,4,Product_Quality,"Good product minor delay in delivery",2026-08-15
22,167-8640883-1178136,1,Payment_Issue,"Product arrived broken terrible packaging",2026-08-26
23,168-6712906-9501501,3,Payment_Issue,"Average experience delivery took longer than promised",2026-05-21
24,173-1497209-1271141,5,Delivery_Speed,"Fast shipping and great packaging",2026-07-14
25,174-5662502-4069526,3,Customer_Service,"Average experience delivery took longer than promised",2026-02-25
26,175-5736432-4412354,4,Packaging,"Nice product quality delivery was on time",2026-08-16
27,181-5464958-2878395,4,Packaging,"Happy with purchase packaging could be better",2026-02-01
28,188-9498758-4833491,3,Customer_Service,"Packaging was damaged but product was fine",2026-08-06
29,192-3002575-8233527,5,Payment_Issue,"Product exactly as described very happy",2026-07-04
30,194-9815110-6248113,4,Delivery_Speed,"Happy with purchase packaging could be better",2026-06-28
31,200-6456834-7268355,2,Packaging,"Product quality does not match the listing",2026-08-16
32,202-5232508-1097003,5,Product_Quality,"Fast shipping and great packaging",2026-04-29
33,208-4839216-7947358,5,Product_Quality,"Product exactly as described very happy",2026-08-26
34,219-8076486-5800341,2,Payment_Issue,"Payment issue caused delay in order",2026-08-15
35,221-6826992-8476053,3,Delivery_Speed,"Delivery partner was not professional",2026-07-17
