delivery_id,shipment_id,partner_id,attempt_number,delivery_status,delivery_timestamp,customer_pincode
1,1,25,1,Delivered,"2026-02-01 14:13:01",483422
2,2,13,1,Delivered,"2026-08-25 01:25:01",337353
3,3,15,1,Delivered,"2026-03-31 13:27:01",224802
4,4,23,1,Delivered,"2026-08-20 17:04:01",106745
5,5,9,1,Delivered,"2026-05-11 12:05:01",723285
6,6,25,1,Failed_Attempt,"2026-08-14 20:01:01",606471
7,6,25,2,Failed_Attempt,"2026-08-15 20:01:01",606471
8,6,25,3,RTO,"2026-08-17 20:01:01",606471
9,7,6,1,Delivered,"2026-07-01 07:25:01",683640
10,8,10,1,Delivered,"2026-08-26 10:31:01",163602
11,9,4,1,Delivered,"2026-06-29 20:22:01",688971
12,10,4,1,Delivered,"2026-07-05 13:38:01",477552
13,11,29,1,Delivered,"2026-07-02 00:24:01",569280
14,12,25,1,Delivered,"2026-08-31 13:23:01",543597
15,13,28,1,Delivered,"2026-08-23 00:39:01",171626
16,14,16,1,Delivered,"2026-05-20 20:20:01",755427
17,15,26,1,Failed_Attempt,"2026-08-19 23:25:01",150359
18,15,26,2,Delivered,"2026-08-21 00:25:01",150359
19,16,4,1,Delivered,"2026-08-10 12:37:01",459340
20,17,24,1,Delivered,"2026-06-19 01:40:01",244820
21,18,15,1,Delivered,"2026-04-03 19:01:01",690717
22,19,12,1,Failed_Attempt,"2026-06-02 13:24:01",716934
23,19,12,2,Failed_Attempt,"2026-06-03 15:24:01",716934
24,19,12,3,RTO,"2026-06-05 15:24:01",716934
25,20,28,1,Delivered,"2026-08-02 10:58:01",240056
26,21,20,1,Delivered,"2025-10-19 17:45:01",382974
27,22,27,1,Delivered,"2026-08-29 22:21:01",153256
28,23,17,1,Delivered,"2026-05-09 17:44:01",690629
29,24,24,1,Failed_Attempt,"2026-05-23 15:43:01",336506
30,24,24,2,Delivered,"2026-05-24 15:43:01",336506
31,25,8,1,Delivered,"2026-08-04 17:06:01",153972
32,26,19,1,Failed_Attempt,"2026-01-22 23:54:01",802743
33,26,19,2,Delivered,"2026-01-23 23:54:01",802743
34,27,10,1,Delivered,"2026-02-28 18:27:01",788982
35,28,30,1,Delivered,"2026-06-29 10:09:01",650386
36,29,27,1,Delivered,"2026-05-23 07:39:01",597122
37,30,17,1,Delivered,"2026-06-13 23:51:01",311457
38,31,8,1,Delivered,"2026-08-08 02:21:01",699554
39,32,22,1,Delivered,"2026-03-09 16:20:01",258829
40,33,19,1,Delivered,"2025-12-30 11:31:01",581842
41,34,30,1,Delivered,"2026-05-27 12:45:01",622816
42,35,13,1,Failed_Attempt,"2026-05-15 16:34:01",766070
43,35,13,2,Failed_Attempt,"2026-05-16 18:34:01",766070
44,35,13,3,RTO,"2026-05-18 18:34:01",766070
45,36,4,1,Delivered,"2026-04-10 15:43:01",857593
46,37,10,1,Delivered,"2026-04-04 04:07:01",285615
47,38,21,1,Delivered,"2026-08-25 03:02:01",287852
48,39,2,1,Delivered,"2025-12-13 13:45:01",777611
49,40,10,1,Delivered,"2026-08-24 19:30:01",128626
50,41,19,1,Delivered,"2026-08-07 23:27:01",864268
51,42,9,1,Delivered,"2026-06-01 22:35:01",139929
52,43,27,1,Delivered,"2026-08-26 09:04:01",178598
