fc_id,fc_code,city,state,region,capacity_units,fc_type
1,BEN01,Bengaluru,Karnataka,South,42156,Standard
2,BEN02,Bengaluru,Karnataka,South,5823,Quick_Commerce
3,HYD03,Hyderabad,Telangana,South,67432,Sort_Center
4,HYD04,Hyderabad,Telangana,South,3891,Fresh
5,CHE05,Chennai,"Tamil Nadu",South,28764,Standard
6,MUM06,Mumbai,Maharashtra,West,71523,Sort_Center
7,MUM07,Mumbai,Maharashtra,West,6234,Quick_Commerce
8,PUN08,Pune,Maharashtra,West,35412,Standard
9,AHM09,Ahmedabad,Gujarat,West,2156,Fresh
10,DEL10,Delhi,"Delhi NCR",North,55000,Sort_Center
11,DEL11,Delhi,"Delhi NCR",North,7500,Quick_Commerce
12,GUR12,Gurugram,Haryana,North,48321,Standard
13,NOI13,Noida,"Uttar Pradesh",North,39876,Standard
14,LUC14,Lucknow,"Uttar Pradesh",North,22543,Standard
15,JAI15,Jaipur,Rajasthan,North,4567,Quick_Commerce
16,KOL16,Kolkata,"West Bengal",East,61234,Sort_Center
17,KOL17,Kolkata,"West Bengal",East,31456,Standard
18,PAT18,Patna,Bihar,East,18765,Standard
19,BHU19,Bhubaneswar,Odisha,East,15432,Standard
20,KOC20,Kochi,Kerala,South,2987,Fresh
21,COI21,Coimbatore,"Tamil Nadu",South,26543,Standard
22,IND22,Indore,"Madhya Pradesh",Central,33210,Standard
23,NAG23,Nagpur,Maharashtra,Central,45678,Sort_Center
24,NAG24,Nagpur,Maharashtra,Central,3456,Quick_Commerce
25,CHA25,Chandigarh,Punjab,North,19876,Standard
26,GUW26,Guwahati,Assam,Northeast,12345,Standard
27,BEN27,Bengaluru,Karnataka,South,4123,Fresh
28,MUM28,Mumbai,Maharashtra,West,38765,Standard
29,DEL29,Delhi,"Delhi NCR",North,2345,Fresh
