inventory_id,product_id,fc_id,quantity_available,quantity_reserved,reorder_level,last_updated
1,1,13,437,9,100,"2026-08-27 03:22:00"
2,1,2,60,5,100,"2026-08-28 01:22:00"
3,2,16,186,8,100,"2026-08-28 03:22:00"
4,2,8,260,45,75,"2026-08-28 04:22:00"
5,2,25,278,13,50,"2026-08-23 17:22:00"
6,3,9,56,7,20,"2026-08-24 13:22:00"
7,3,7,426,51,50,"2026-08-25 12:22:00"
8,3,18,66,11,20,"2026-08-26 11:22:00"
9,3,9,5,0,100,"2026-08-28 12:22:00"
10,4,19,10,0,20,"2026-08-24 03:22:00"
11,4,22,106,18,75,"2026-08-27 10:22:00"
12,5,12,47,2,30,"2026-08-26 03:22:00"
13,5,22,35,1,75,"2026-08-24 21:22:00"
14,6,23,104,14,75,"2026-08-24 02:22:00"
15,6,23,186,21,75,"2026-08-23 01:22:00"
16,6,18,59,9,75,"2026-08-24 23:22:00"
17,7,26,349,56,100,"2026-08-26 21:22:00"
18,7,5,280,17,100,"2026-08-25 11:22:00"
19,7,10,430,23,75,"2026-08-28 20:22:00"
20,8,4,326,60,75,"2026-08-26 06:22:00"
21,8,17,135,18,75,"2026-08-29 08:22:00"
22,9,2,424,10,20,"2026-08-29 01:22:00"
23,9,7,430,51,30,"2026-08-28 11:22:00"
24,9,23,124,23,20,"2026-08-27 17:22:00"
25,10,28,331,30,30,"2026-08-29 03:22:00"
26,10,17,319,28,30,"2026-08-28 07:22:00"
27,10,4,491,53,75,"2026-08-27 10:22:00"
28,11,13,159,8,50,"2026-08-26 20:22:00"
29,11,22,199,31,100,"2026-08-25 04:22:00"
30,12,9,439,47,20,"2026-08-25 14:22:00"
31,12,25,258,51,50,"2026-08-28 13:22:00"
32,12,18,209,13,30,"2026-08-24 03:22:00"
33,12,29,235,19,75,"2026-08-28 15:22:00"
34,13,10,156,18,20,"2026-08-25 01:22:00"
35,13,3,206,32,75,"2026-08-27 19:22:00"
36,13,7,129,16,30,"2026-08-23 10:22:00"
37,13,14,306,40,50,"2026-08-26 13:22:00"
38,14,22,82,10,75,"2026-08-24 16:22:00"
39,14,14,50,1,30,"2026-08-27 19:22:00"
40,14,12,103,16,50,"2026-08-25 14:22:00"
41,14,23,51,1,50,"2026-08-26 15:22:00"
42,15,28,165,27,20,"2026-08-28 01:22:00"
43,15,24,113,17,20,"2026-08-27 22:22:00"
44,15,1,113,2,100,"2026-08-27 16:22:00"
45,16,19,498,11,50,"2026-08-25 21:22:00"
46,16,2,257,24,75,"2026-08-25 16:22:00"
47,16,16,434,67,30,"2026-08-22 23:22:00"
48,16,3,262,18,30,"2026-08-23 02:22:00"
49,17,29,224,11,100,"2026-08-28 21:22:00"
50,17,20,2,0,100,"2026-08-23 21:22:00"
51,18,1,102,19,20,"2026-08-25 13:22:00"
52,18,23,12,1,20,"2026-08-24 15:22:00"
53,19,18,147,20,50,"2026-08-24 16:22:00"
54,19,29,338,31,30,"2026-08-29 14:22:00"
55,19,9,189,0,100,"2026-08-25 14:22:00"
56,20,8,326,32,50,"2026-08-28 22:22:00"
57,20,2,422,8,100,"2026-08-26 03:22:00"
