seller_id,seller_name,seller_type,registration_date,marketplace
1,"Raj Enterprises",FBA,2021-03-15,IN
2,"Sharma Trading Co",FBA,2022-06-20,IN
3,"Patel Goods Pvt Ltd",Seller_Fulfilled,2021-09-10,IN
4,"Singh Electronics",FBA,2023-01-05,IN
5,"Kumar Fashion House",Vendor,2021-05-22,IN
6,"Gupta Books Store",FBA,2022-11-30,IN
7,"Mehta Sports World",Seller_Fulfilled,2023-07-18,IN
8,"Joshi Home Decor",FBA,2021-12-01,IN
9,"Reddy Beauty Hub",FBA,2022-04-14,IN
10,"Nair Grocery Mart",Seller_Fulfilled,2023-03-25,IN
11,"Bose Tech Solutions",FBA,2021-08-09,IN
12,"Iyer Organics",Vendor,2022-02-17,IN
13,"Das Toy Kingdom",FBA,2023-10-12,IN
14,"Pillai Kitchen World",Seller_Fulfilled,2021-06-28,IN
15,"Verma Lifestyle",FBA,2022-09-03,IN
16,"Chopra Retail",Seller_Fulfilled,2023-05-15,IN
17,"Mishra Supplies",FBA,2021-11-20,IN
18,"Agarwal Collections",Vendor,2022-07-07,IN
19,"Banerjee Bazaar",FBA,2023-02-28,IN
20,"Desai Global Trade",Seller_Fulfilled,2021-04-10,IN
21,"Malhotra Emporium",FBA,2022-12-15,IN
22,"Kapoor Creations",FBA,2023-08-22,IN
23,"Shetty E-Store",Seller_Fulfilled,2021-10-05,IN
24,"Rao Digital Mart",FBA,2022-05-18,IN
25,"Bhatt Wholesale Hub",Vendor,2023-04-30,IN
26,"Pandey General Store",Seller_Fulfilled,2021-07-12,IN
27,"Saxena Imports",FBA,2022-10-25,IN
28,"Mukherjee Brothers",FBA,2023-06-08,IN
29,"Dutta Commercial",Seller_Fulfilled,2021-02-14,IN
30,"Ghosh Online Mart",FBA,2022-08-19,IN
31,"Tiwari Distributors",Vendor,2023-11-03,IN
32,"Yadav Traders",Seller_Fulfilled,2021-01-27,IN
33,"Chauhan Retail Corp",FBA,2022-03-10,IN
34,"Thakur Supply Chain",FBA,2023-09-16,IN
35,"Sinha E-Commerce",Seller_Fulfilled,2021-12-22,IN
36,"Roy Trading House",FBA,2022-01-30,IN
37,"Dubey Products",Vendor,2023-07-04,IN
38,"Shukla Mega Store",Seller_Fulfilled,2021-09-28,IN
39,"Kulkarni Goods Hub",FBA,2022-06-12,IN
40,"Menon Marketplace",FBA,2023-12-01,IN
