seller_id,seller_name,seller_type,registration_date,marketplace
1,Raj Enterprises,FBA,3/15/2021,IN
2,Sharma Trading Co,FBA,6/20/2022,IN
3,Patel Goods Pvt Ltd,Seller_Fulfilled,9/10/2021,IN
4,Singh Electronics,FBA,1/5/2023,IN
5,Kumar Fashion House,Vendor,5/22/2021,IN
6,Gupta Books Store,FBA,11/30/2022,IN
7,Mehta Sports World,Seller_Fulfilled,7/18/2023,IN
8,Joshi Home Decor,FBA,12/1/2021,IN
9,Reddy Beauty Hub,FBA,4/14/2022,IN
10,Nair Grocery Mart,Seller_Fulfilled,3/25/2023,IN
11,Bose Tech Solutions,FBA,8/9/2021,IN
12,Iyer Organics,Vendor,2/17/2022,IN
13,Das Toy Kingdom,FBA,10/12/2023,IN
14,Pillai Kitchen World,Seller_Fulfilled,6/28/2021,IN
15,Verma Lifestyle,FBA,9/3/2022,IN
16,Chopra Retail,Seller_Fulfilled,5/15/2023,IN
17,Mishra Supplies,FBA,11/20/2021,IN
18,Agarwal Collections,Vendor,7/7/2022,IN
19,Banerjee Bazaar,FBA,2/28/2023,IN
20,Desai Global Trade,Seller_Fulfilled,4/10/2021,IN
21,Malhotra Emporium,FBA,12/15/2022,IN
22,Kapoor Creations,FBA,8/22/2023,IN
23,Shetty E-Store,Seller_Fulfilled,10/5/2021,IN
24,Rao Digital Mart,FBA,5/18/2022,IN
25,Bhatt Wholesale Hub,Vendor,4/30/2023,IN
26,Pandey General Store,Seller_Fulfilled,7/12/2021,IN
27,Saxena Imports,FBA,10/25/2022,IN
28,Mukherjee Brothers,FBA,6/8/2023,IN
29,Dutta Commercial,Seller_Fulfilled,2/14/2021,IN
30,Ghosh Online Mart,FBA,8/19/2022,IN
31,Tiwari Distributors,Vendor,11/3/2023,IN
32,Yadav Traders,Seller_Fulfilled,1/27/2021,IN
33,Chauhan Retail Corp,FBA,3/10/2022,IN
34,Thakur Supply Chain,FBA,9/16/2023,IN
35,Sinha E-Commerce,Seller_Fulfilled,12/22/2021,IN
36,Roy Trading House,FBA,1/30/2022,IN
37,Dubey Products,Vendor,7/4/2023,IN
38,Shukla Mega Store,Seller_Fulfilled,9/28/2021,IN
39,Kulkarni Goods Hub,FBA,6/12/2022,IN
40,Menon Marketplace,FBA,12/1/2023,IN
